Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,   Spend   
Home Office,DBS - Disclosure & Barring Service,02-10-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000324," 111,931.00 "
Home Office,DBS - Disclosure & Barring Service,02-10-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000325," 243,907.18 "
Home Office,DBS - Disclosure & Barring Service,02-10-2017,Grant,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1002063955," 604,098.48 "
Home Office,DBS - Disclosure & Barring Service,02-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002064297," 114,517.25 "
Home Office,DBS - Disclosure & Barring Service,03-10-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000326," 21,988.46 "
Home Office,DBS - Disclosure & Barring Service,03-10-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000326," 63,324.54 "
Home Office,DBS - Disclosure & Barring Service,05-10-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000327," 40,121.05 "
Home Office,DBS - Disclosure & Barring Service,05-10-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000327," 43,918.76 "
Home Office,DBS - Disclosure & Barring Service,06-10-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002066479," 155,856.83 "
Home Office,DBS - Disclosure & Barring Service,18-10-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000328," 108,341.80 "
Home Office,DBS - Disclosure & Barring Service,18-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002071705," 1,506.24 "
Home Office,DBS - Disclosure & Barring Service,18-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002071705," 42,363.00 "
Home Office,DBS - Disclosure & Barring Service,20-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002072834," 6,383.26 "
Home Office,DBS - Disclosure & Barring Service,20-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002072834," 57,555.52 "
Home Office,DBS - Disclosure & Barring Service,20-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002072834," 146,234.52 "
Home Office,DBS - Disclosure & Barring Service,20-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002072834," 147,501.14 "
Home Office,DBS - Disclosure & Barring Service,20-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002072834," 304,823.46 "
Home Office,DBS - Disclosure & Barring Service,20-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002072903," 12,826.10 "
Home Office,DBS - Disclosure & Barring Service,20-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002072903," 17,101.48 "
Home Office,DBS - Disclosure & Barring Service,20-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002072903," 74,587.50 "
Home Office,DBS - Disclosure & Barring Service,20-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002072903," 84,633.23 "
Home Office,DBS - Disclosure & Barring Service,20-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002072903," 84,633.23 "
Home Office,DBS - Disclosure & Barring Service,20-10-2017,Other Government Department,DBS - Disclosure & Barring Service,THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA,1002072904," 42,350.89 "
Home Office,DBS - Disclosure & Barring Service,23-10-2017,Criminal Record Checks,DBS - Disclosure & Barring Service,BRITISH TRANSPORT POLICE,1002073581," 114,009.78 "
Home Office,DBS - Disclosure & Barring Service,23-10-2017,Criminal Record Checks,DBS - Disclosure & Barring Service,CITY OF LONDON,1002073592," 28,057.38 "
Home Office,DBS - Disclosure & Barring Service,23-10-2017,Other Government Department,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CLEVELAND,1002073654," 26,346.13 "
Home Office,DBS - Disclosure & Barring Service,23-10-2017,Other Government Department,DBS - Disclosure & Barring Service,SCOTTISH POLICE AUTHORITY,1002073660," 29,767.23 "
Home Office,DBS - Disclosure & Barring Service,23-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002073665," 83,372.52 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,AVON & SOMERSET CONSTABULARY (G),1002074053," 55,471.15 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1002074063," 67,007.77 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,CUMBRIA POLICE & CRIME COMMISSIONER (G),1002074074," 25,115.05 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1002074115," 36,615.81 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1002074119," 25,017.41 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1002074120," 31,622.19 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1002074121," 163,443.33 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1002074123," 95,038.29 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1002074124," 27,402.03 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1002074125," 110,969.08 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1002074126," 38,907.58 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER (G),1002074129," 88,968.91 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CHESHIRE (G),1002074132," 44,477.35 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DERBYSHIRE (G),1002074133," 307,015.61 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HAMPSHIRE (G),1002074136," 49,779.32 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR LANCASHIRE (THE) (G),1002074138," 58,449.58 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR NORTH WALES (G),1002074140," 94,668.18 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SURREY (G),1002074143," 52,202.78 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SUSSEX (THE) (G),1002074144," 39,492.65 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR WILTSHIRE (THE) (G),1002074145," 47,700.60 "
Home Office,DBS - Disclosure & Barring Service,24-10-2017,Grant,DBS - Disclosure & Barring Service,WEST MERCIA PCC (G),1002074162," 34,730.03 "
Home Office,DBS - Disclosure & Barring Service,27-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002076087," 825,166.80 "
Home Office,DBS - Disclosure & Barring Service,30-10-2017,Grant,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1002076482," 848,725.46 "
Home Office,DBS - Disclosure & Barring Service,30-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002076737," 3,276.00 "
Home Office,DBS - Disclosure & Barring Service,30-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002076737," 7,296.00 "
Home Office,DBS - Disclosure & Barring Service,30-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002076737," 8,368.61 "
Home Office,DBS - Disclosure & Barring Service,30-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002076737," 12,870.00 "
Home Office,DBS - Disclosure & Barring Service,30-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002076737," 15,552.00 "
Home Office,DBS - Disclosure & Barring Service,30-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002076737," 16,416.00 "
Home Office,DBS - Disclosure & Barring Service,30-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002076737," 25,272.00 "
Home Office,DBS - Disclosure & Barring Service,30-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002076737," 31,200.00 "
Home Office,DBS - Disclosure & Barring Service,30-10-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002076774," 108,157.72 "
Home Office,Home Office,18-10-2017,Grant,"BICS - Borders, Immigration & Citizenship System",OFFICE OF THE IMMIGRATION SERVICES COMMISSIONER (OISC ) (G),3000054415," 301,667.00 "
Home Office,Home Office,02-10-2017,Grant,CPFG - Crime Policing & Fire Group,COLLEGE OF POLICING (G),1002063944," 3,000,000.00 "
Home Office,Home Office,02-10-2017,Grant,CPFG - Crime Policing & Fire Group,GANGMASTERS LICENSING AUTHORITY (G),1002063948," 467,342.00 "
Home Office,Home Office,02-10-2017,Grant,CPFG - Crime Policing & Fire Group,ST GILES TRUST (G),1002063964," 150,000.00 "
Home Office,Home Office,02-10-2017,"IT, Telecomms",CPFG - Crime Policing & Fire Group,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,1002064204," 333,592.08 "
Home Office,Home Office,02-10-2017,"IT, Telecomms",CPFG - Crime Policing & Fire Group,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,1002064204," 660,273.89 "
Home Office,Home Office,02-10-2017,"IT, Telecomms",CPFG - Crime Policing & Fire Group,CGI IT UK LTD,1002064214," 37,666.80 "
Home Office,Home Office,02-10-2017,Other Government Department,CPFG - Crime Policing & Fire Group,FORENSIC ARCHIVE LTD,1002064231," 101,068.00 "
Home Office,Home Office,02-10-2017,"Advertising, Publicity & Media",CPFG - Crime Policing & Fire Group,M&C SAATCHI (UK) LTD,1002064258," 54,503.50 "
Home Office,Home Office,02-10-2017,"Advertising, Publicity & Media",CPFG - Crime Policing & Fire Group,M&C SAATCHI (UK) LTD,1002064258," 62,646.00 "
Home Office,Home Office,02-10-2017,"IT, Telecomms - Run Costs",CPFG - Crime Policing & Fire Group,NORTHROP GRUMMAN UK LTD,1002064270," 25,869.60 "
Home Office,Home Office,02-10-2017,"IT, Telecomms - Run Costs",CPFG - Crime Policing & Fire Group,NORTHROP GRUMMAN UK LTD,1002064270," 58,206.60 "
Home Office,Home Office,02-10-2017,Grant,CPFG - Crime Policing & Fire Group,INDEPENDENT OFFICE FOR POLICE CONDUCT (IOPC) (G),3000054335," 6,000,000.00 "
Home Office,Home Office,03-10-2017,"IT, Telecomms - Run Costs",CPFG - Crime Policing & Fire Group,AIRWAVE SOLUTIONS LTD,1002064861," 317,970.91 "
Home Office,Home Office,03-10-2017,"IT, Telecomms - Run Costs",CPFG - Crime Policing & Fire Group,AIRWAVE SOLUTIONS LTD,1002064861," 20,802,965.70 "
Home Office,Home Office,03-10-2017,"IT, Telecomms",CPFG - Crime Policing & Fire Group,DATALYNX LTD,1002064879," 176,340.00 "
Home Office,Home Office,03-10-2017,"IT, Infrastructure & Support",CPFG - Crime Policing & Fire Group,"KELLOGG, BROWN AND ROOT LTD",1002064893," 2,282,033.95 "
Home Office,Home Office,03-10-2017,Other Government Department,CPFG - Crime Policing & Fire Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER,1002064903," 10,215.73 "
Home Office,Home Office,03-10-2017,Other Government Department,CPFG - Crime Policing & Fire Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER,1002064903," 31,479.86 "
Home Office,Home Office,03-10-2017,Other Government Department,CPFG - Crime Policing & Fire Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER,1002064903," 34,971.54 "
Home Office,Home Office,03-10-2017,Other Government Department,CPFG - Crime Policing & Fire Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER,1002064903," 41,324.90 "
Home Office,Home Office,03-10-2017,Business Process Outsourcing,CPFG - Crime Policing & Fire Group,GOVERNMENT ACTUARY'S DEPARTMENT,3000054343," 58,725.28 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1002065238," 80,131.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1002065238," 197,449.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1002065238," 948,158.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1002065238," 4,641,620.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1002065238," 8,629,558.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1002065239," 44,147.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1002065239," 97,709.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1002065239," 401,871.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1002065239," 2,004,916.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1002065239," 3,985,634.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,CHAMBERLAIN OF LONDON (G),1002065240," 377,432.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,CHAMBERLAIN OF LONDON (G),1002065240," 1,512,166.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,CHAMBERLAIN OF LONDON (G),1002065240," 2,762,929.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1002065241," 71,484.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1002065241," 332,662.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1002065241," 2,359,962.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1002065241," 2,532,543.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,DORSET POLICE & CRIME COMMISSIONERS (G),1002065242," 48,221.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,DORSET POLICE & CRIME COMMISSIONERS (G),1002065242," 110,876.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,DORSET POLICE & CRIME COMMISSIONERS (G),1002065242," 500,784.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,DORSET POLICE & CRIME COMMISSIONERS (G),1002065242," 1,424,140.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,DORSET POLICE & CRIME COMMISSIONERS (G),1002065242," 3,388,288.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,GREATER LONDON AUTHORITY (G),1002065243," 9,972,993.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,GREATER LONDON AUTHORITY (G),1002065243," 14,470,789.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,GREATER LONDON AUTHORITY (G),1002065243," 61,607,833.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,GREATER LONDON AUTHORITY (G),1002065243," 70,787,460.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1002065244," 38,294.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1002065244," 94,294.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1002065244," 421,117.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1002065244," 1,986,751.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1002065244," 3,547,285.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1002065245," 111,008.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1002065245," 699,508.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1002065245," 3,954,023.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1002065245," 6,403,589.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1002065246," 118,991.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1002065246," 656,386.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1002065246," 2,364,265.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1002065246," 4,126,426.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1002065247," 60,665.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1002065247," 448,512.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1002065247," 3,037,172.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1002065247," 3,509,328.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1002065248," 183,624.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1002065248," 924,509.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1002065248," 5,472,137.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1002065248," 8,733,219.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1002065249," 104,837.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1002065249," 241,664.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1002065249," 1,796,307.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1002065249," 14,903,431.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1002065249," 18,622,038.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1002065250," 41,699.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1002065250," 99,954.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1002065250," 695,092.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1002065250," 3,826,410.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1002065250," 5,525,493.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1002065251," 46,755.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1002065251," 112,456.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1002065251," 585,033.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1002065251," 3,257,767.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1002065251," 5,369,382.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1002065252," 128,132.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1002065252," 1,175,284.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1002065252," 9,271,939.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1002065252," 10,063,023.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1002065253," 53,547.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1002065253," 53,914.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1002065253," 54,726.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1002065253," 132,904.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1002065253," 701,956.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1002065253," 3,281,480.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1002065253," 5,463,150.00 "
Home Office,Home Office,04-10-2017,Grant,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR SUFFOLK (G),1002065254," 35,893.00 "
